OBJECTID,TIPO_VIA,SUBREGION,MUNICIPIO,NOMBRE_VIA,CODIGO_VIA,COMPETENTE,ORDEN,CONCESION,TRAMO_VIA,RUTA_VIA,INICIO,FIN,CENTRO_POBLADO,L_ODOMETRO,L_GPS,ANCHO_VIA,TIPOSUPERFICIE,ESTADO_SUPERFICIE,FUENTEINFO,PRODUCTO_PRINCIPAL,Shape__Length,GlobalID
80,2, , ,Berrío (Cruce Ruta 60) - San Vicente,60AN14, ,Segundo Orden, , , ,Berrío (Cruce Ruta 60), San Vicente, ,11.3,11.2,7.0,0,0, , ,11593.757373891849,775a942c-8a35-4697-a4bb-d08d267ad48d
81,2, , ,San Vicente - El Peñol,60AN14-1, ,Tercer Orden, , , ,San Vicente, El Peñol, ,26.8,26.6,4.9,0,0, , ,26684.396857570657,6e27a60d-607a-40b6-a739-a1f00d779460
82,2, , ,Marinilla - Peñol,60AN15, ,Segundo Orden, , , ,Marinilla, El Peñol, ,17.0,16.1,7.314286,0,0, , ,16482.113821446168,3c6d8763-9c3d-4cc9-a0e6-c59023e336f2
83,2, , ,Marinilla - El Santuario - Carmen de Viboral - Canadá,60AN15-1, ,Segundo Orden, , , ,Marinilla, Canadá, ,28.85,29.48425694,4.135842,0,0, , ,28776.630249178215,12f930c8-bd32-4a56-9920-b30c0b2f4f2c
84,2, , ,La Aurora - Sonadora - Guatape,60AN15-2-1, ,Tercer Orden, , , ,La Aurora,Guatape, ,16.5,17.3,2.7,0,0, , ,16700.151529271683,29865134-eb55-40de-9f42-50069fabe30b
86,2, , ,Autopista - El Ramal - Granada,60AN16, ,Segundo Orden, , , ,Autopista, Granada, ,12.5,12.9,6.8,0,0, , ,12947.998299674653,7d4fb344-e073-4b61-933c-3adbbba48c91
87,2, , ,Granada - El Choco - San Carlos,60AN16-1, ,Segundo Orden, , , ,Granada, San Carlos, ,39.8,39.0,6.459259,0,0, , ,39390.29731251795,b645137b-6281-4038-983b-e61500425afd
88,2, , ,Autopista - Cocorná,60AN17, ,Segundo Orden, , , ,Autopista, Cocorná, ,6.7,6.7,6.307692,0,0, , ,6695.427986849673,377183aa-3bcd-46d9-a6e6-d52b75964c8a
89,2, , ,Cocorná - El Ramal (Granada),60AN17-1, ,Tercer Orden, , , ,Cocorná, El Ramal (Granada), ,13.0,12.4,4.552027,0,0, , ,12404.682568523698,2902a02f-a293-4ced-9c53-b647069e214b
90,2, , ,La Piñuela - San Francisco,60AN18, ,Segundo Orden, , , ,La Piñuela, San Francisco, ,12.7,12.6,6.0,0,0, , ,12933.19159448776,12e95c59-c74d-4451-8c43-88cd939c5f42
91,2, , ,Autopista - San Luis,60AN19, ,Segundo Orden, , , ,Autopista, San Luis, ,6.5,6.4,5.923077,0,0, , ,6449.448878429301,7c78110c-d1ef-4277-aa86-a4d28469b1fd
92,2, , ,San Carlos - Partidas a San Miguel - Los Planes,60AN19-1, ,Tercer Orden, , , ,San Carlos,Los Planes, ,19.3,19.1,3.212813,0,0, , ,19640.87212311125,65d4c95f-9edb-4ab8-99b8-e48387713992
93,2, , ,San Luis - El Choco,60AN19-2, ,Tercer Orden, , , ,San Luis,El Choco, ,21.0,20.3,4.354092,0,0, , ,20292.778831043484,1ee28aab-4b78-49f7-b107-9dc3054cacff
